theta    phi          y_ini             v_ini              g
84.4    318.0    1.10909154077    19.4479400209    -8.04307098368
48.5    255.5    1.02048525647    19.0697051993    -8.78579342604
82.5    201.1    12.7605924861    24.2386924465    -9.92932417602
94.0    181.4    1.18649036563    21.0593768304    -7.95464500431
62.5    148.6    1.07657494014    20.1255445437    -8.36491355246
134.0    221.9    0.848128013045    19.2071554539    -8.6086382365
129.6    303.1    0.957884537946    18.9155943345    -8.41655395377
74.3    9.3    1.09723353585    19.1739724664    -8.15256863358
61.4    190.4    0.950688161452    20.5293860906    -8.39148799393
31.5    270.3    0.744138695344    19.2236770974    -9.27959676546
101.0    141.7    0.872825802243    21.1849376136    -7.90597320975
78.8    2.7    0.968504772957    19.9235176439    -8.0992599541
120.2    352.4    1.10014130165    20.7217862823    -8.08338997859
50.0    242.5    1.03474280349    19.6036047348    -8.73434675198
94.4    71.4    1.0552240035    19.8341765628    -7.9508299626
76.3    256.7    1.17274798863    21.2635546325    -8.12751699345
130.7    222.0    0.859111005828    20.5401474276    -8.46236854962
77.7    254.3    1.04430767205    19.1976645255    -8.11216299483
128.3    290.3    1.10483722556    19.2936034623    -8.35932044424
166.0    334.4    1.14158401136    20.5481897646    -9.67701046868
119.4    16.6    1.09166045384    20.4004424948    -8.06247422858
143.7    157.2    1.04892461606    20.9397901321    -9.05459094188
71.4    118.4    0.934380255899    18.7872842951    -8.19406398086
76.2    230.1    1.068973936    20.0765629851    -8.12939022354
62.4    321.6    1.07951423214    18.5523426798    -8.36925752231
69.5    289.1    0.929680257218    19.4157658845    -8.22343616624
127.1    128.3    0.81248282364    19.5665724815    -8.31381863504
128.0    69.0    1.0909556446    19.2051073749    -8.34731549523
63.8    25.6    7.23610180509    26.4222639955    -11.4498049967
153.3    74.6    1.0447244317    18.774210566    -9.4151517229
77.3    2.2    1.20354000153    19.412110004    -8.11630297239
113.3    63.9    0.725645559699    20.8775218947    -7.94540077113
75.8    215.8    7.96017497356    27.7011697322    -11.6293164874
8.1    78.8    0.89773075778    20.5047934425    -9.40495259509
49.0    60.2    1.017969851    21.0793759816    -8.77092252297
95.0    48.3    12.3048091158    20.6706776862    -8.68010306953
147.2    155.6    0.976123539663    22.1284519057    -9.19916686238
13.4    312.8    10.3270002442    20.6768650219    -9.85514125577
74.9    134.9    11.947081402    20.6189089575    -8.95105666237
41.0    66.9    1.08375421761    18.8313847144    -9.0337150271
137.2    159.7    0.994665890176    19.2743390348    -8.75705678799
128.0    182.2    0.947238571552    19.4374757573    -8.34989160352
34.0    84.2    1.18032364858    20.9575237214    -9.22607960212
89.9    249.5    0.87547344527    19.3870119615    -7.99041154083
34.3    110.9    18.425776982    16.5174550567    -7.31796463297
89.4    233.9    14.7050310075    22.251891304    -9.77366991884
78.8    228.1    18.8781797283    17.1236688741    -5.96299654708
98.5    77.7    0.960780505174    19.8171305512    -7.92019425672
118.8    274.1    0.904783239651    19.4821061628    -8.0473661125
133.3    105.3    0.937363906678    19.8059870052    -8.57805993585
115.3    264.7    0.868949494422    19.2271857911    -7.97485451036
103.9    111.2    1.00257878337    19.3472140064    -7.89656826876
70.1    226.3    1.0722517653    21.5996227063    -8.21423684423
73.9    267.9    22.085733608    18.4134189035    -6.13224962499
81.6    203.8    0.949099777898    19.6232574155    -8.06984027899
68.8    316.1    1.06607091545    18.9468925327    -8.23505621356
119.3    136.4    1.00646052297    19.4230191453    -8.05980413403
13.3    158.9    1.05926056889    20.2236037207    -9.41485526497
104.6    30.0    0.857805386286    17.8394887342    -7.89572951014
72.7    237.1    0.961834927404    18.3183980803    -8.17485168414
89.2    171.3    1.0618929584    19.2830824447    -7.9974317087
81.5    96.9    1.01084161718    16.9817698705    -8.07123173675
159.3    56.6    0.981047062142    19.8537360176    -9.57092188026
121.8    61.0    0.945193444246    19.3752601104    -8.12767248721
114.3    280.1    0.998299306206    19.8359937459    -7.95896387137
22.4    68.1    1.12401884218    20.057330257    -9.39636500337
92.7    357.9    1.09813910865    20.8015746016    -7.9651523601
70.5    73.0    0.835414562296    18.6831935513    -8.20702145973
30.7    288.4    0.910304602109    20.0836156    -9.29390424327
83.8    224.1    0.863475210736    21.3861668186    -8.04830200547
100.6    87.7    0.828290696651    20.6294705862    -7.90778283986
144.9    44.3    10.8864031725    19.0931822122    -9.22344515551
152.8    173.6    1.00906457418    22.4792741561    -9.39950308186
55.7    90.4    0.965900491795    18.9605226255    -8.55244827679
64.9    72.6    0.988076582135    19.6269130172    -8.31146836139
110.9    24.5    0.938698932996    19.4221193979    -7.91819980686
54.9    156.1    1.14642747036    20.0926807849    -8.57719690768
142.5    99.7    0.90788272873    19.6865594583    -9.00237173298
98.3    120.6    1.0413647683    20.3475117248    -7.92109127489
62.6    20.1    0.943245732887    18.7834942595    -8.36345052893
66.9    166.6    0.961660538736    18.8469546844    -8.27152299668
147.1    182.1    1.02919698337    18.7501000484    -9.19901315371
168.9    97.9    1.0968394889    19.0955422283    -9.70458865595
84.8    282.3    1.04710926355    20.5056083445    -8.03908599665
163.8    344.7    0.995833626608    19.9230366243    -9.64821795224
25.9    261.5    1.05193354057    21.0913369655    -9.36511264572
108.1    1.6    0.938224626258    19.3555003589    -7.90082954724
172.5    168.0    10.3160671125    20.1253699337    -10.2849650754
114.8    31.4    17.3783702553    16.9351042614    -7.2122882516
130.9    180.9    8.40271974306    25.1397623999    -11.4009248655
37.1    105.0    0.987339351747    18.6985300621    -9.14667445395
58.2    132.4    1.06866426453    22.1003276221    -8.47755316076
77.7    236.0    0.95963456801    20.7085192112    -8.11140301645
70.3    246.6    0.989754611845    20.4515784664    -8.21050601683
162.9    341.0    15.8083797386    15.8527530802    -7.50158800311
142.4    115.9    1.02178585023    20.6405000691    -8.99704938071
89.0    282.5    12.9686243695    24.026112057    -9.83971640797
15.1    64.2    20.3933775186    19.0942184197    -7.78235843541
113.9    4.3    0.997217720216    19.9360637457    -7.95293971366
128.6    271.3    19.1924229078    21.2485999423    -9.22477096707
127.2    64.9    1.10472955422    18.7211448127    -8.3176684844
41.6    282.0    0.931379897397    19.5036804492    -9.01635098251
117.1    238.4    13.9794779982    21.3433017303    -8.62037358911
136.0    127.3    14.3424063337    20.3827947547    -8.14564158348
82.2    55.2    0.932501010894    21.2624408312    -8.06431523893
72.0    316.9    0.92955136603    20.5705173641    -8.18518082063
134.3    37.8    12.9095817497    20.6279353059    -9.19543238807
105.6    189.7    1.23151953335    18.6371778785    -7.89545781873
11.3    43.8    0.961099638699    19.2016156825    -9.41158533889
108.6    352.8    1.05987844222    21.744021475    -7.90316262928
79.6    169.9    14.6667980059    20.3643332919    -8.60658568503
14.5    311.0    0.942396508294    19.5805723601    -9.41593691408
26.4    226.6    0.959430770779    19.5631452617    -9.35905062669
47.8    90.5    0.852392524014    21.0756382262    -8.81091887189
145.9    224.0    1.04520747632    21.2010557597    -9.14670508365
87.5    95.3    0.706152861019    19.0633656943    -8.01277685756
119.8    156.1    18.1681734592    12.8882849234    -4.61453308106
112.7    238.2    0.842199444856    19.6135619608    -7.93689025182
69.1    309.6    1.00887839551    19.3376858089    -8.22989767583
24.1    27.7    1.0311960641    19.3382969676    -9.38356567561
83.9    188.9    0.963745060214    18.9008205392    -8.04730735831
103.9    219.8    1.03459130953    19.6985066739    -7.89661551897
158.6    66.1    1.07932881722    20.6797669434    -9.55421713059
83.1    202.3    0.933104657691    20.9136642536    -8.05481012083
87.5    111.8    0.931459345846    21.7043670805    -8.0132650314
21.9    354.9    0.930431843596    17.0921287985    -9.39972642611
157.3    250.1    1.12883273321    20.5633629984    -9.52451872047
18.2    359.2    0.871615659314    20.4545639944    -9.41384397935
51.0    168.7    0.963231606728    19.6202127717    -8.70370117428
96.7    156.5    0.844258815998    19.3718475304    -7.93257719489
104.2    301.1    0.988109765527    19.3624133491    -7.89611018317
83.6    34.1    0.951909862328    19.2629670949    -8.05006501421
77.5    85.4    1.06518649021    20.8072173482    -8.11437352687
95.4    198.7    1.11999716462    21.2339001442    -7.94291594807
151.1    67.6    1.04899901568    20.3764348635    -9.3446728946
97.7    314.0    1.02607047679    18.7931972797    -7.92516507314
41.0    48.3    0.92875591121    19.0503605834    -9.03489691808
43.7    271.8    0.992068569151    22.0604959472    -8.94582113878
48.0    334.3    1.13579154048    19.5437946373    -8.80423271746
61.6    146.5    0.910444391316    19.8732553665    -8.38734720418
14.2    350.0    0.860729076329    20.5178464019    -9.41573949729
166.4    93.1    1.03106965676    20.5545446087    -9.68081640239
92.3    180.2    1.04122380695    18.3507609882    -7.96941203293
107.9    329.4    0.914760967275    20.1055562054    -7.90021979006
29.2    331.9    0.886046353852    20.0231909235    -9.32096489561
86.9    156.8    1.18377589676    19.9038956725    -8.01896080088
125.3    86.5    0.990047197493    19.7109168692    -8.24505966286
81.5    229.6    0.928192758712    20.6555453234    -8.07095735055
75.8    86.1    1.00866182353    20.4807567381    -8.13384293938
22.8    302.3    0.833507627679    21.0354959657    -9.39385823106
85.2    152.1    1.0120347267    19.7259677014    -8.03446700162
92.4    321.6    0.862151697589    20.4612506712    -7.96831432818
101.7    282.4    8.7284650903    24.8059162354    -9.76714654563
122.4    332.3    0.983507418848    19.4261270152    -8.14734651459
111.0    122.0    1.0543084394    19.6411094951    -7.91973340455
20.6    311.4    0.901290666986    20.1523210344    -9.4062548445
41.4    93.0    15.0972992954    12.700816056    -5.57940536304
48.3    203.1    1.02955878029    21.4880118246    -8.79235234228
47.1    69.9    11.7999819116    19.8112782254    -10.0741065709
145.2    260.3    0.834822487095    20.592528158    -9.12045189629
152.7    117.3    0.964043323715    20.8608558828    -9.39840268933
53.6    135.9    1.07517457305    20.3601161242    -8.61660760045
36.2    336.2    0.942701007321    20.8285664405    -9.17097329506
55.9    61.2    0.781983802857    19.2470607169    -8.5469480883
56.1    0.6    0.803960085917    20.4799799285    -8.54014465331
169.1    71.0    0.881947777495    19.8407808372    -9.70671535988
149.2    164.5    0.837852003515    19.0774057379    -9.27617610949
79.8    306.4    0.988494973857    22.0237947507    -8.08880103519
26.7    42.4    0.750576245879    19.4865685819    -9.35543281921
138.4    192.9    1.12623528249    20.8167421549    -8.81588138392
134.3    274.2    0.778375544166    18.4113936469    -8.62472305993
144.2    121.7    0.885659215411    22.6933482619    -9.07885743686
94.9    223.9    11.402904851    21.6531175756    -8.62354463174
93.1    195.9    0.943056677577    17.9628171919    -7.96185012456
90.7    261.1    1.14678882489    19.0281319766    -7.98334113852
101.8    344.5    0.880733542362    20.1014165773    -7.90261671941
74.2    193.7    0.836922992373    21.7786314651    -8.15347210786
44.4    58.2    0.869237018965    21.679447107    -8.92271631601
75.4    101.8    10.0031495224    26.9752855905    -10.7668885967
76.8    118.1    0.910199678139    20.9740088108    -8.12229004974
34.8    261.9    1.07299882224    18.9546232383    -9.20751862905
88.8    295.3    0.969753752255    20.7093187871    -8.00052796792
25.7    310.7    1.03056485685    19.7041560814    -9.36767989879
12.7    51.2    1.01502066078    18.326802006    -9.41405347669
135.2    59.9    1.06779280063    22.4486928137    -8.66703729581
114.3    248.4    0.81724874769    21.9532166207    -7.95820107024
169.9    268.0    1.07911946814    20.0430985677    -9.71221298309
92.9    5.1    14.5563102924    24.8378974077    -10.2985055356
20.9    219.3    1.04689723437    20.8222781554    -9.4047676466
